#taxid	libtype	vtype	lib_name	library_id	libabbr	creator	allele_type	total_clones	total_end_seq	total_ins_seq	clone_b_ends	total_gtt_seq
9606	genomic	PAC	RPCI human PAC library 3	8	RP3			5729	667	697	58	0
9606	genomic	PAC	RPCI human PAC library 2	222	RP2			0	0	0	0	0
9606	genomic	BAC	RPCI human BAC library 13	22	RP13			2895	206	1134	88	0
9606	genomic	BAC	RPCI human BAC library 11	12	RP11			292975	394813	33838	133898	0
9606	genomic	PAC	RPCI human PAC library 1	7	RP1			10904	7403	1296	3140	0
9606	genomic	cosmid	Q1Z-derived Xq27.3-qter library	94	Qc			33	0	22	0	0
9606	genomic	BAC	NCIH2171 Cancer Cell BAC library	37496252	NCIH2171			32	0	32	0	0
9606	genomic	BAC	NCIH1770 Cancer Cell BAC library	37496251	NCIH1770			16	0	16	0	0
9606	genomic	BAC	NCI2087 Cancer Cell BAC library	95	NCI2087			5	0	5	0	0
9606	genomic	fosmid	Leucocyte Receptor Complex B fosmid library	32294571	LRC_B			8	0	9	0	0
9606	genomic	PAC	Lawrence Livermore human PAC library	23	LLpac			1	0	0	0	0
9606	genomic	fosmid	LL19NC04 'W' chr. 19-specific fosmid library	6	LLfos			13	0	12	0	0
9606	genomic	cosmid	Lawrence Livermore human cosmid library	221	LLcos			23	0	1	0	0
9606	genomic	cosmid	LL19NC03 'R' chr. 19-specific cosmid library	21	LLNLR			398	0	369	0	0
9606	genomic	cosmid	LL19NC02 'F' chr. 19-specific cosmid library	20	LLNLF			240	0	211	0	0
9606	genomic	cosmid	LLNL3 human chromosome 3 cosmid library	102	LLNL3			6	0	6	0	0
9606	genomic	fosmid	LLNL human chromosome 19 fosmid library	220	LLNL19FOS			8	0	3	0	0
9606	genomic	cosmid	Lawrence Livermore human chromosome 22 cosmid library LL22NC03	34	LL22NC03			124	0	128	0	0
9606	genomic	cosmid	Lawrence Livermore human chromosome 22 cosmid library LL22NC01	33	LL22NC01			26	0	26	0	0
9606	genomic	cosmid	Lawrence Livermore human chromosome 21 cosmid library	58	LL21NC02			68	0	70	0	0
9606	genomic	cosmid	Lawrence Livermore human chromosome 17 cosmid library	41	LL17NC01			3	0	3	0	0
9606	genomic	cosmid	Lawrence Livermore human chromosome 16 cosmid library	40	LL16NC01			1	0	0	0	0
9606	genomic	cosmid	Lawrence Livermore flow-sorted human chr. 12 cosmid library	92	LL12NC01			9	0	9	0	0
9606	genomic	cosmid	Lawrence Livermore human chromosome Y cosmid library	52	LL0YNC03			8	0	8	0	0
9606	genomic	cosmid	Lawrence Livermore human chromosome X cosmid library	32	LL0XNC01			157	0	135	0	0
9606	genomic	cosmid	Lawrence Livermore human chromosome 9 cosmid library	59	LL09NC01			9	0	9	0	0
9606	genomic	cosmid	Lawrence Livermore flow-sorted human chr. 7 cosmid library "Y"	109	LL07NC01			1	0	1	0	0
9606	genomic	cosmid	Lawrence Livermore human chromosome 3 cosmid library	513	LL03NC01			1	0	1	0	0
9606	genomic	cosmid	Los Alamos flow-sorted human chr. 20 cosmid library	90	LA20			3	0	3	0	0
9606	genomic	cosmid	Los Alamos human chromosome 16 cosmid libraries LA16NC01 and LA16NC02	24	LA16c			237	0	235	0	0
9606	genomic	cosmid	Los Alamos flow-sorted human chr. 10 cosmid library	91	LA10NC01			25	0	25	0	0
9606	genomic	cosmid	Los Alamos human chromosome 4 cosmid library	31	LA04NC01			59	0	90	0	0
9606	genomic	cosmid	KU21 "D" flow-sorted human chr. 21 cosmid library	103	KU21D			24	0	25	0	0
9606	genomic	cosmid	Keio Cat Eye Syndrome Cosmid Library	26455445	KCES			24	0	24	0	0
9606	genomic	BAC	Keio University human BAC library	26	KB			365	270	290	0	0
9606	genomic	cosmid	ICRF human chromosome 11 cosmid library	511	ICRFc107			5	0	5	0	0
9606	genomic	cosmid	ICRF human chr. 22 cosmid library	108	ICRFc106			0	0	0	0	0
9606	genomic	cosmid	ICRF human chromosome 17 cosmid library (L4/FS17)	107	ICRFc105			4	0	4	0	0
9606	genomic	cosmid	ICRF human chr. X cosmid library	106	ICRFc104			9	0	9	0	0
9606	genomic	cosmid	ICRF human chr. 21 cosmid library L4/FS21 (DH5 alpha plated)	105	ICRFc103			8	0	8	0	0
9606	genomic	cosmid	ICRF human chr. 21 cosmid library L4/FS21 (ED8 757 plated)	104	ICRFc102			6	0	6	0	0
9606	genomic	cosmid	ICRF flow-sorted chromosome 6 cosmid library	37	ICRF6c			8	0	8	0	0
9606	genomic	YAC	ICRF human 4X whole genome YAC Library (ICRFy900)	512	ICRF4X			11	0	11	0	0
9606	genomic	cosmid	ICRF flow-sorted chromosome 1 cosmid library	32294572	ICRF1c			1	0	1	0	0
9606	genomic	YAC	ICI YAC library	93	ICI			18	0	18	0	0
9606	genomic	fosmid	Human YAC derived fosmid library	33224231	HYfos			6	0	6	0	0
9606	genomic	cosmid	human sCos1 half-YAC derived cosmid library	100	HYcos			38	0	28	0	0
9606	genomic	plasmid	Human YAC gap capture library	33224232	HYGC			1	0	1	0	0
9606	genomic	half-YAC	Human Telomeric YAC library	61	HTY			4	0	5	0	0
9606	genomic	cosmid	T. Spies HLA cosmid library	101	HLAcos			0	0	0	0	0
9606	genomic	BAC	HCC1954 Cancer Cell BAC library	37496250	HCC1954			27	0	27	0	0
9606	genomic	BAC	Genome Systems human BAC library 2	19	GS2			1	0	1	0	0
9606	genomic	BAC	Genome Systems human BAC library 1	18	GS1			508	108	247	46	0
9606	genomic	cosmid	Guy's Hospital 5X cosmid library	36	GHc			22	0	22	0	0
9606	genomic	YAC	E. Green Chromosome 7 YAC Resource	97	EG7YAC			63	0	63	0	0
9606	genomic	BAC	DNA-Arts.org BAC library SSTO.1	53	DASS			106	0	104	0	0
9606	genomic	BAC	DNA-Arts.org BAC library QBL.1	49	DAQB			57	0	57	0	0
9606	genomic	BAC	DNA-Arts.org BAC library MCF.1	56	DAMC			66	0	66	0	0
9606	genomic	BAC	DNA-Arts.org BAC library MANN.1	55	DAMA			83	0	82	0	0
9606	genomic	BAC	DNA-Arts.org BAC library DBB.1	57	DADB			70	0	70	0	0
9606	genomic	BAC	DNA-Arts.org BAC library APD.1	54	DAAP			86	0	86	0	0
9606	genomic	BAC	CalTech human BAC library	17	CTbac			0	0	0	0	0
9606	genomic	BAC	CalTech human BAC library D	16	CTD			226848	403688	3164	153035	0
9606	genomic	BAC	CalTech human BAC library C	15	CTC			16116	21967	837	7103	0
9606	genomic	BAC	CalTech human BAC library B	14	CTB			1761	56	627	21	0
9606	genomic	BAC	CalTech human BAC library A	13	CTA			4252	7028	347	2590	0
9606	genomic	fosmid	NHGRI-HUMAN-CORIELLE-DNA_CORIELL-02A-F-39-40KB	112	COR2A			723569	1441881	143	718218	0
9606	genomic	fosmid	NHGRI-HUMAN-CORIELLE-DNA_CORIELL-03-F-40-42KB	113	COR03			0	0	0	0	0
9606	genomic	fosmid	NHGRI-HUMAN-CORIELLE-DNA_CORIELL-02-F-39-40KB	111	COR02			272396	546984	46	270081	0
9606	genomic	fosmid	NHGRI-HUMAN-CORIELLE-DNA_01-CORIELLE-G-40KB	110	COR01			0	0	0	0	0
9606	genomic	P1	RIKEN human chromosome 21 P1 library	44	CMP21			85	0	84	0	0
9606	genomic	fosmid	RIKEN human chromosomes 9-12 specific fosmid library	48	CMF9			27	0	26	0	0
9606	genomic	fosmid	RIKEN human chromosome 21 fosmid library	43	CMF21			33	0	33	0	0
9606	genomic	fosmid	RIKEN human chromosome 18 fosmid library	62	CMF18			7	0	7	0	0
9606	genomic	cosmid	RIKEN human chromosome X cosmid library	66	CMCX			1	0	1	0	0
9606	genomic	cosmid	RIKEN human chromosome 7 cosmid library	65	CMC7			1	0	1	0	0
9606	genomic	cosmid	RIKEN human chromosome 5 cosmid library	64	CMC5			2	0	2	0	0
9606	genomic	cosmid	RIKEN human chromosome 21 cosmid library	45	CMC21			11	0	11	0	0
9606	genomic	cosmid	RIKEN human chromosome 19 cosmid library	63	CMC19			1	0	1	0	0
9606	genomic	BAC	RIKEN human chromosomes 9-12 BAC library	25	CMB9			204	0	194	0	0
9606	genomic	BAC	RIKEN human chromosome 21 BAC library	33223070	CMB21			7	0	7	0	0
9606	genomic	BAC	RIKEN human chromosome 18 BAC library	39	CMB18			0	0	0	0	0
9606	genomic	fosmid	CalTech human chromosome 22 fosmid library	27	CITF22			40	0	41	0	0
9606	genomic	BAC	CHORI-507 Human BAC Library	67	CH507			53	0	53	0	0
9606	genomic	BAC	CHORI 502 Human MHC BAC Library	47	CH502			53	0	53	0	0
9606	genomic	BAC	CHORI 501 Human MHC BAC Library	46	CH501			58	0	58	0	0
9606	genomic	BAC	The CHORI-17 BAC Library from a hydatidiform (haploid) mole	76	CH17			176211	325659	1318	132368	0
9606	genomic	BAC	CHORI-16 Human sheared BAC library	89	CH16			2	0	2	0	0
9606	genomic	BAC	CHORI 15 Human female BAC library	51	CH15			2	0	2	0	0
9606	genomic	BAC	CHORI 14 Human male BAC library	50	CH14			0	0	0	0	0
9606	genomic	YAC	Washington University YAC library	99	CGM1			0	0	0	0	0
9606	genomic	YAC	CEPH YAC Library (CEPH Whole Genome MegaYAC Library)	98	CEPHY			25	0	26	0	0
9606	genomic	BAC	CEPH BAC library	96	CEPHB			13	0	13	0	0
9606	genomic	BAC	Human BAC library AK1	38422318	AK1			62758	125516	0	62758	0
9606	genomic	fosmid	Agencourt human fosmid library 9	70	ABC9			1065503	2084892	807	1007101	0
9606	genomic	fosmid	Agencourt human fosmid library 8	69	ABC8			2007047	3888476	332	1833859	0
9606	genomic	fosmid	Agencourt human fosmid library 7	68	ABC7			1116966	2152975	229	1029580	0
9606	genomic	fosmid	Agencourt human fosmid library 27	88	ABC27			768336	1229804	183	458697	0
9606	genomic	fosmid	Agencourt human fosmid library 26	87	ABC26			5256	8415	0	3101	0
9606	genomic	fosmid	Agencourt human fosmid library 25	86	ABC25			0	0	0	0	0
9606	genomic	fosmid	Agencourt human fosmid library 24	85	ABC24			835600	1383475	280	544488	0
9606	genomic	fosmid	Agencourt human fosmid library 23	84	ABC23			942133	1535766	0	585596	0
9606	genomic	fosmid	Agencourt human fosmid library 22	83	ABC22			519274	780151	3	256795	0
9606	genomic	fosmid	Agencourt human fosmid library 21	82	ABC21			436930	680160	42	239615	0
9606	genomic	fosmid	Agencourt human fosmid library 20	81	ABC20			49132	80350	0	31081	0
9606	genomic	fosmid	Agencourt human fosmid library 19	80	ABC19			22532	38743	0	16149	0
9606	genomic	fosmid	Agencourt human fosmid library 18	79	ABC18			743640	1204811	67	437092	0
9606	genomic	fosmid	Agencourt human fosmid library 17	78	ABC17			21271	34672	0	13401	0
9606	genomic	fosmid	Agencourt human fosmid library 16	77	ABC16			907948	1534288	208	622542	0
9606	genomic	fosmid	Agencourt human fosmid library 14	75	ABC14			1042929	2089193	405	1015295	0
9606	genomic	fosmid	Agencourt human fosmid library 13	74	ABC13			1009643	2057345	428	978699	0
9606	genomic	fosmid	Agencourt human fosmid library 12	73	ABC12			1120939	2169280	561	1034032	0
9606	genomic	fosmid	Agencourt human fosmid library 11	72	ABC11			998880	1966644	461	952693	0
9606	genomic	fosmid	Agencourt human fosmid library 10	71	ABC10			1062082	2121489	583	1008980	0
