	#Gi	CloneName	Stdn	Chrom	Phase	CloneState	GCenter	Accession	SeqLen	LibAbbr
5540	9795680	RP11-172C16	Y	11	3	fin	WUGSC	AC020549.4	146841	RP11
5604	13176703	RP11-449G13	Y	11	3	fin	WUGSC	AC020716.3	171805	RP11
5700	19033938	RP11-124G5	Y	11	3	fin	WIBR	AC021006.7	183772	RP11
5775	17488678	RP11-215H22	Y	11	3	fin	WIBR	AC021233.9	159641	RP11
5800	22507249	RP11-38L8	Y	11	3	fin	WIBR	AC021424.6	181025	RP11
5801	17386448	RP11-399N15	Y	11	3	fin	WIBR	AC021427.10	174147	RP11
5804	28301977	RP11-692M12	Y	11	3	fin	WIBR	AC021443.27	220283	RP11
5810	18450156	RP11-77F24	Y	11	3	fin	WIBR	AC021488.5	138522	RP11
5830	24635989	RP11-411D10	Y	11	3	fin	WIBR	AC021573.10	144656	RP11
5857	21307386	RP11-430L3	Y	11	3	fin	WIBR	AC021698.12	201673	RP11
5858	13399395	RP11-277B22	Y	11	3	fin	WIBR	AC021699.5	163386	RP11
5861	19071672	RP11-313M3	Y	11	3	fin	WIBR	AC021723.11	166447	RP11
5867	21427862	RP11-810F22	Y	11	3	fin	WIBR	AC021749.6	193997	RP11
5873	19570169	RP11-361M6	Y	11	3	fin	WIBR	AC021761.8	182789	RP11
5883	16974251	RP11-220C23	Y	11	3	fin	WIBR	AC021824.7	160869	RP11
5885	17647005	RP11-436H16	Y	11	3	fin	WIBR	AC021829.8	163497	RP11
5903	16304268	RP11-68C8	Y	11	3	fin	WIBR	AC021914.7	156507	RP11
5908	13176402	RP11-447I3	Y	11	3	fin	WIBR	AC021956.8	197864	RP11
5911	9837923	RP11-116N3	Y	11	3	fin	Beijing	AC021998.4	142446	RP11
5916	10765023	RP11-91E22	Y	11	3	fin	Beijing	AC022014.3	161192	RP11
6012	11024948	RP11-588M21	Y	11	3	fin	WUGSC	AC022209.4	177314	RP11
6022	18855098	RP11-231N3	Y	11	3	fin	WIBR	AC022240.10	61851	RP11
6023	15291019	RP11-35P21	Y	11	3	fin	WIBR	AC022253.6	161629	RP11
6042	9964949	RP11-46D24	Y	11	3	fin	SDSTDC	AC022316.18	180973	RP11
6187	21427860	RP11-290F24	Y	11	3	fin	WIBR	AC022762.8	186604	RP11
6192	13899439	RP11-277K23	Y	11	3	fin	WIBR	AC022796.5	115454	RP11
6216	18087692	RP11-413N13	Y	11	3	fin	WIBR	AC022878.8	179652	RP11
6219	13376948	RP11-444K7	Y	11	3	fin	WIBR	AC022882.5	174469	RP11
6238	21307415	RP11-735P2	Y	11	3	fin	WIBR	AC022994.9	167760	RP11
6248	20198710	RP11-583F24	Y	11	3	fin	WIBR	AC023078.9	163718	RP11
6249	20522209	RP11-397M16	Y	11	3	fin	WIBR	AC023080.6	175832	RP11
6250	21637519	RP11-513I7	Y	11	3	fin	WIBR	AC023085.7	175063	RP11
6260	11597140	RP11-277L22	Y	11	3	fin	WUGSC	AC023118.4	154330	RP11
6289	15028569	RP11-797J4	Y	11	3	fin	WIBR	AC023206.6	208561	RP11
6290	21637520	RP11-793I11	Y	11	3	fin	WIBR	AC023232.16	188868	RP11
6336	19852155	RP11-375D13	Y	11	3	fin	WIBR	AC023442.17	177644	RP11
6414	21307407	RP11-48J22	Y	11	3	fin	WIBR	AC023850.10	165031	RP11
6417	14029067	RP11-436B24	Y	11	3	fin	WIBR	AC023869.5	181765	RP11
6435	21206409	RP11-567I13	Y	11	3	fin	WIBR	AC023946.5	187380	RP11
6438	17149768	RP11-808N1	Y	11	3	fin	WIBR	AC023950.6	211464	RP11
6518	30023886	RP11-425L10	Y	11	3	fin	WIBR	AC024293.18	70106	RP11
6519	17149765	RP11-108L12	Y	11	3	fin	WIBR	AC024295.7	157094	RP11
6525	14190739	RP11-336F14	Y	11	3	fin	WIBR	AC024341.9	165260	RP11
6530	15148297	RP11-574M7	Y	11	3	fin	WIBR	AC024405.6	174118	RP11
6531	21637522	RP11-697N18	Y	11	3	fin	WIBR	AC024451.8	159791	RP11
6533	24080701	RP11-702F3	Y	11	3	fin	WIBR	AC024475.15	191960	RP11
6618	22655816	RP11-302E22	Y	11	3	fin	WIBR	AC025016.8	155661	RP11
6635	17149770	RP11-132I17	Y	11	3	fin	WIBR	AC025069.9	159986	RP11
6639	17647006	RP11-734D5	Y	11	3	fin	WIBR	AC025106.8	190779	RP11
6712	17386445	RP11-573E11	Y	11	3	fin	WIBR	AC025300.10	173709	RP11
6801	15426064	RP11-417O17	Y	11	3	fin	WIBR	AC025623.8	151329	RP11
6836	18699972	RP11-227P3	Y	11	3	fin	WIBR	AC025787.9	168793	RP11
6873	14333956	RP11-6K5	Y	11	3	fin	WIBR	AC025972.6	165962	RP11
6903	10765018	RP11-156E23	Y	11	3	fin	Beijing	AC026168.3	180508	RP11
6917	10765021	RP11-546N8	Y	11	3	fin	Beijing	AC026201.3	202218	RP11
6935	22758422	RP11-540A21	Y	11	3	fin	WIBR	AC026250.16	160681	RP11
6939	29294162	RP11-745E9	Y	11	3	fin	WIBR	AC026269.26	173145	RP11
7070	16506908	RP11-4B7	Y	11	3	fin	WIBR	AC026639.6	174711	RP11
7170	18104886	RP11-261E12	Y	11	3	fin	WIBR	AC026843.9	166287	RP11
7171	13899443	RP11-302O8	Y	11	3	fin	WIBR	AC026844.4	26780	RP11
7188	21321866	RP11-472K20	Y	11	3	fin	WIBR	AC026970.7	132987	RP11
7189	20986631	RP11-709C9	Y	11	3	fin	WIBR	AC026975.5	200105	RP11
7196	14579806	RP11-439M19	Y	11	3	fin	WIBR	AC027016.4	165843	RP11
7200	27413196	RP11-589F4	Y	11	3	fin	WIBR	AC027026.11	155376	RP11
7223	17488712	RP11-64I17	Y	11	3	fin	WIBR	AC027157.7	158529	RP11
7233	14249091	RP11-528L6	Y	11	3	fin	WIBR	AC027239.5	196857	RP11
7303	21956628	RP11-613F22	Y	11	3	fin	WIBR	AC027544.11	196410	RP11
7340	18182811	RP11-98J9	Y	11	3	fin	WIBR	AC027779.10	149059	RP11
7344	16118210	RP11-324J3	Y	11	3	fin	WIBR	AC027804.7	172272	RP11
7345	16931027	RP11-328C11	Y	11	3	fin	WIBR	AC027806.8	176872	RP11
7420	22267673	RP11-138N3	Y	11	3	fin	WIBR	AC034259.7	206192	RP11
7439	19310319	RP11-283H3	Y	11	3	fin	WIBR	AC036114.7	159851	RP11
7498	21307462	RP11-372B5	Y	11	3	fin	WIBR	AC040968.6	176988	RP11
7512	14573664	RP11-141J21	Y	11	3	fin	UWMSC	AC044790.4	170114	RP11
7519	18266660	RP11-494M8	Y	11	3	fin	WIBR	AC044810.7	194297	RP11
7574	31745254	RP11-534I22	Y	11	3	fin	WIBR	AC051649.21	188519	RP11
7630	22382036	RP11-682B13	Y	11	3	fin	WIBR	AC055845.15	155304	RP11
7634	17985932	RP11-195O23	Y	11	3	fin	WIBR	AC055860.13	160494	RP11
7642	17488744	RP11-34N19	Y	11	3	fin	WIBR	AC055878.5	183763	RP11
7665	17530780	RP11-89D4	Y	11	3	fin	WIBR	AC060799.6	152164	RP11
7667	28460957	RP11-120E20	Y	11	3	fin	WIBR	AC060812.15	184106	RP11
7680	26190539	RP11-532E4	Y	11	3	fin	WIBR	AC061979.17	124104	RP11
7682	20336176	RP11-324K6	Y	11	3	fin	WIBR	AC061997.12	106216	RP11
7683	21427849	RP11-545D22	Y	11	3	fin	WIBR	AC061999.6	182549	RP11
7816	17432902	RP11-558L11	Y	11	3	fin	WIBR	AC067794.5	190489	RP11
7820	20334685	RP11-738J16	Y	11	3	fin	WIBR	AC067807.10	166312	RP11
7839	16974265	RP11-72C9	Y	11	3	fin	WIBR	AC067902.6	189071	RP11
7842	18093033	RP11-741H19	Y	11	3	fin	WIBR	AC067922.7	42868	RP11
7869	26080543	RP11-682M10	Y	11	3	fin	WIBR	AC067990.12	92815	RP11
7891	18087695	RP11-807F21	Y	11	3	fin	WIBR	AC068107.6	177969	RP11
7907	18640687	RP11-330I10	Y	11	3	fin	WIBR	AC068185.9	174189	RP11
7913	27802048	RP11-472I20	Y	11	3	fin	WIBR	AC068205.25	205069	RP11
7949	15412466	RP11-82N10	Y	11	3	fin	WIBR	AC068329.8	185347	RP11
7951	17488648	RP11-328E22	Y	11	3	fin	WIBR	AC068339.6	155491	RP11
7955	15281286	RP11-618K13	Y	11	3	fin	WIBR	AC068385.9	171115	RP11
7962	19849357	RP11-71F16	Y	11	3	fin	WIBR	AC068405.5	154774	RP11
7970	17647020	RP11-582N4	Y	11	3	fin	WIBR	AC068457.5	172516	RP11
7973	14547887	RP11-713P14	Y	11	3	fin	WIBR	AC068472.5	183659	RP11
8006	27884980	RP11-295K3	Y	11	3	fin	WIBR	AC068580.23	120298	RP11
8062	19703148	RP11-304C12	Y	11	3	fin	WIBR	AC068733.12	191656	RP11
8098	23379153	RP11-255G5	Y	11	3	fin	WIBR	AC068858.10	113958	RP11
8099	18093036	RP11-371I20	Y	11	3	fin	WIBR	AC068860.9	110019	RP11
8171	21930269	RP11-995N21	Y	11	3	fin	WIBR	AC069175.8	225957	RP11
8222	21913550	RP11-304M2	Y	11	3	fin	WUGSC	AC069287.7	199487	RP11
8297	20270093	RP11-321E15	Y	11	3	fin		AC069539.5	181471	RP11
8309	18001645	RP11-771G24	Y	11	3	fin	WIBR	AC069575.8	173498	RP11
8395	16118195	RP11-531H8	Y	11	3	fin	WIBR	AC073172.5	168080	RP11
8493	20564428	RP11-500D4	Y	11	3	fin		AC073372.9	180504	RP11
8756	11181856	RP11-502G22	Y	11	3	fin	WUGSC	AC074191.3	179357	RP11
8961	17998610	RP11-485O14	Y	11	3	fin	WIBR	AC079064.6	164009	RP11
8966	21427769	RP11-72A10	Y	11	3	fin	WIBR	AC079073.7	173119	RP11
9054	28261647	RP11-467K18	Y	11	3	fin	WIBR	AC079296.5	194686	RP11
9072	22711815	RP11-233I10	Y	11	3	fin	WIBR	AC079326.8	180353	RP11
9075	20128016	RP11-265D17	Y	11	3	fin	WIBR	AC079329.15	156540	RP11
9092	14277180	RP11-184J19	Y	11	3	fin	BCM	AC079361.17	177714	RP11
9267	20377008	RP11-479C24	Y	11	3	fin	WIBR	AC079914.8	91995	RP11
9269	20087233	RP11-55I22	Y	11	3	fin	WIBR	AC079917.6	140542	RP11
9314	21104962	RP11-351I24	Y	11	3	fin	WIBR	AC080023.6	189886	RP11
9341	18201843	RP11-454H19	Y	11	3	fin	WIBR	AC080100.7	149466	RP11
9342	19339075	RP11-62J13	Y	11	3	fin	WIBR	AC080106.6	157637	RP11
9365	17530754	RP11-175E18	Y	11	3	fin	WIBR	AC083755.10	161755	RP11
9442	30911143	RP11-401C19	Y	11	3	fin	WIBR	AC083984.7	117149	RP11
9469	22165345	RP11-107C21	Y	11	3	fin	WIBR	AC084117.6	166973	RP11
9609	18072179	RP11-640J11	Y	11	3	fin	WIBR	AC087174.4	187218	RP11
9615	24580472	RP11-677N16	Y	11	3	fin	WIBR	AC087207.11	136415	RP11
9642	24431902	RP11-484D2	Y	11	3	fin	WIBR	AC087276.13	204109	RP11
9643	20147901	RP11-514F3	Y	11	3	fin	WIBR	AC087277.11	196859	RP11
9644	20486424	RP11-559I10	Y	11	3	fin	WIBR	AC087279.10	184523	RP11
9645	17223193	RP11-560B16	Y	11	3	fin	WIBR	AC087280.11	173611	RP11
9651	17488662	RP11-657D12	Y	11	3	fin	WIBR	AC087293.5	154644	RP11
9687	20270177	RP11-54J7	Y	11	3	fin	WIBR	AC087373.4	200604	RP11
9688	22024583	RP11-230O19	Y	11	3	fin	WIBR	AC087376.5	164441	RP11
9689	18702406	RP11-292L2	Y	11	3	fin	WIBR	AC087377.7	190650	RP11
9690	21431149	RP11-375L11	Y	11	3	fin	WIBR	AC087378.6	166379	RP11
9691	22830400	RP11-396O20	Y	11	3	fin	WIBR	AC087379.4	167699	RP11
9692	19549312	RP11-454O22	Y	11	3	fin	WIBR	AC087380.3	200723	RP11
9711	20279492	RP11-438N5	Y	11	3	fin	WIBR	AC087441.9	151606	RP11
9712	23396338	RP11-495O11	Y	11	3	fin	WIBR	AC087442.13	200269	RP11
9713	23462905	RP11-651M4	Y	11	3	fin	WIBR	AC087446.13	167865	RP11
9714	21886886	RP11-655D7	Y	11	3	fin	WIBR	AC087447.5	113695	RP11
9742	22417440	RP11-613D13	Y	11	3	fin	WIBR	AC087521.10	188967	RP11
9762	17223183	RP11-258C7	Y	11	3	fin	WIBR	AC087616.3	177939	RP11
9802	21630422	RP11-26I24	Y	11	3	fin	WIBR	AC087750.9	49705	RP11
9809	23505632	RP11-350D17	Y	11	3	fin	WIBR	AC087783.10	204001	RP11
9891	21637525	RP11-266A24	Y	11	3	fin	WIBR	AC090092.9	101116	RP11
9898	23396332	RP11-113D6	Y	11	3	fin	WIBR	AC090099.14	172939	RP11
9909	23396342	RP11-460B17	Y	11	3	fin	WIBR	AC090124.6	161935	RP11
9927	26190574	RP11-202M19	Y	11	3	fin	WIBR	AC090156.10	45120	RP11
9928	23462904	RP11-406D1	Y	11	3	fin	WIBR	AC090159.12	173557	RP11
9929	22450685	RP11-413N10	Y	11	3	fin	WIBR	AC090160.6	170008	RP11
9930	22549876	RP11-706A13	Y	11	3	fin	WIBR	AC090163.10	194642	RP11
9933	21629403	RP11-690A7	Y	11	3	fin	WIBR	AC090174.9	52525	RP11
9968	17975295	RP11-348B14	Y	11	3	fin	WIBR	AC090284.6	160146	RP11
9972	15055316	RP11-142C4	Y	11	3	fin	WIBR	AC090309.4	161586	RP11
10029	17530756	RP11-634M17	Y	11	3	fin	WIBR	AC090467.6	208525	RP11
10030	23683058	RP11-734J23	Y	11	3	fin	WIBR	AC090469.9	215308	RP11
10031	22004604	RP11-617E11	Y	11	3	fin	WIBR	AC090470.9	96694	RP11
10063	22002211	RP11-750H9	Y	11	3	fin	WIBR	AC090559.7	202539	RP11
10076	24080742	RP11-125F14	Y	11	3	fin	WIBR	AC090582.9	96560	RP11
10077	22759329	RP11-348A20	Y	11	3	fin	WIBR	AC090587.10	165459	RP11
10078	20279491	RP11-384E5	Y	11	3	fin	WIBR	AC090588.5	152572	RP11
10079	21622769	RP11-390K5	Y	11	3	fin	WIBR	AC090589.9	190017	RP11
10080	17488661	RP11-405K6	Y	11	3	fin	WIBR	AC090592.5	168469	RP11
10081	23396339	RP11-541L7	Y	11	3	fin	WIBR	AC090597.9	160210	RP11
10082	16756295	RP11-674E24	Y	11	3	fin	WIBR	AC090599.4	165287	RP11
10100	21903638	RP11-1114G3	Y	11	3	fin	WIBR	AC090639.6	139604	RP11
10108	22123559	RP11-184J19	Y	11	3	fin	WIBR	AC090662.9	177722	RP11
10128	24496798	RP11-698N11	Y	11	3	fin	WIBR	AC090692.9	179494	RP11
10134	24182397	RP11-701I24	Y	11	3	fin	WIBR	AC090707.16	185029	RP11
10139	18129429	RP11-648B16	Y	11	3	fin	WIBR	AC090719.8	179177	RP11
10140	18201844	RP11-768P16	Y	11	3	fin	WIBR	AC090720.5	199255	RP11
10149	17223210	RP11-660K15	Y	11	3	fin	WIBR	AC090744.5	195434	RP11
10162	15487413	RP11-466I1	Y	11	3	fin	WIBR	AC090791.6	172865	RP11
10166	22038627	RP11-242N18	Y	11	3	fin	WIBR	AC090799.2	155803	RP11
10168	23334824	RP11-258P13	Y	11	3	fin	WIBR	AC090804.8	45348	RP11
10189	22024584	RP11-7O20	Y	11	3	fin	WIBR	AC090835.7	167437	RP11
10193	17975297	RP11-780O24	Y	11	3	fin	WIBR	AC090848.4	169559	RP11
10194	19849365	RP11-670N15	Y	11	3	fin	WIBR	AC090857.8	180120	RP11
10195	21206314	RP11-676E14	Y	11	3	fin	WIBR	AC090858.6	168906	RP11
10204	17488660	RP11-390G21	Y	11	3	fin	WIBR	AC090893.5	191524	RP11
10232	27573493	RP11-113A6	Y	11	3	fin	WIBR	AC091012.8	145042	RP11
10233	22002203	RP11-379P15	Y	11	3	fin	WIBR	AC091013.7	223741	RP11
10248	22038621	RP11-423H12	Y	11	3	fin	WIBR	AC091051.6	177363	RP11
10249	23343872	RP11-152H18	Y	11	3	fin	WIBR	AC091053.11	160740	RP11
10262	18642752	RP11-65C9	Y	11	3	fin	WIBR	AC091097.8	162515	RP11
10280	18497173	RP11-884J20	Y	11	3	fin	WIBR	AC091146.8	138053	RP11
10314	27597026	RP11-371C18	Y	11	3	fin	WIBR	AC091196.6	132211	RP11
10365	22657585	RP11-732A19	Y	11	3	fin	WIBR	AC091564.12	211735	RP11
10387	17426315	RP11-808H14	Y	11	3	fin	WIBR	AC091644.7	183187	RP11
11031	22038623	RP11-193F22	Y	11	3	fin	WIBR	AC092733.18	195538	RP11
11043	18182777	RP11-1149L18	Y	11	3	fin	WIBR	AC092768.6	146364	RP11
12064	15799616	RP11-650O21	Y	11	3	fin	WIBR	AC096857.1	31549	RP11
12565	19703196	RP11-48F13	Y	11	3	fin	WIBR	AC099730.2	169549	RP11
12606	21389290	RP11-747E23	Y	11	3	fin	WIBR	AC099842.2	159274	RP11
12619	19852137	RP11-748C4	Y	11	3	fin	WIBR	AC100763.2	172963	RP11
12621	19697488	RP11-787P24	Y	11	3	fin	WIBR	AC100767.2	170435	RP11
12622	20279498	RP11-945A11	Y	11	3	fin	WIBR	AC100768.2	190183	RP11
12623	19033606	RP11-701P23	Y	11	3	fin	WIBR	AC100769.2	171700	RP11
12624	19352309	RP11-46P12	Y	11	3	fin	WIBR	AC100770.2	165585	RP11
12625	20503111	RP11-159H22	Y	11	3	fin	WIBR	AC100771.2	177819	RP11
12626	19849366	RP11-960D24	Y	11	3	fin	WIBR	AC100773.2	199549	RP11
12695	28173126	RP11-449L13	Y	11	3	fin	WIBR	AC100865.5	202683	RP11
12701	21281559	RP11-715M10	Y	11	3	fin	WIBR	AC100875.3	195097	RP11
12762	29126431	RP11-703E9	Y	11	3	fin	WIBR	AC103736.5	147226	RP11
12790	22857755	RP11-1033A18	Y	11	3	fin	WIBR	AC103796.3	211799	RP11
12791	19551150	RP11-159D8	Y	11	3	fin	WIBR	AC103798.2	163680	RP11
12792	22038636	RP11-765I16	Y	11	3	fin	WIBR	AC103801.2	174545	RP11
12818	22165191	RP11-104M24	Y	11	3	fin	WIBR	AC103854.2	152529	RP11
12819	22450666	RP11-958J22	Y	11	3	fin	WIBR	AC103855.3	183720	RP11
12823	20340509	RP11-702L21	Y	11	3	fin	WIBR	AC103870.3	182598	RP11
12825	19698710	RP11-768H8	Y	11	3	fin	WIBR	AC103873.2	184860	RP11
12857	20531887	RP11-1081L13	Y	11	3	fin	WIBR	AC103974.6	189230	RP11
12871	23196431	RP11-204B15	Y	11	3	fin	WIBR	AC104009.7	146515	RP11
12872	32306602	RP11-244C20	Y	11	3	fin	WIBR	AC104010.21	63480	RP11
12875	21955079	RP11-343J8	Y	11	3	fin	WIBR	AC104016.8	178534	RP11
12882	26190567	RP11-483L5	Y	11	3	fin	WIBR	AC104031.6	212779	RP11
12887	26291952	RP11-746C23	Y	11	3	fin	WIBR	AC104038.9	187648	RP11
12989	20258538	RP11-12N12	Y	11	3	fin	WIBR	AC104235.3	162139	RP11
12991	20128277	RP11-35J10	Y	11	3	fin	WIBR	AC104237.2	164732	RP11
12992	24137571	RP11-45A12	Y	11	3	fin	WIBR	AC104241.7	147821	RP11
12997	22038639	RP11-1084A14	Y	11	3	fin	WIBR	AC104249.7	171265	RP11
13033	26080569	RP11-691A5	Y	11	3	fin	WIBR	AC104360.8	170211	RP11
13034	22296719	RP11-950A3	Y	11	3	fin	WIBR	AC104361.3	145172	RP11
13035	26449136	RP11-1023E15	Y	11	3	fin	WIBR	AC104362.15	184077	RP11
13126	26190568	RP11-587D21	Y	11	3	fin	WIBR	AC104563.14	141200	RP11
13130	19683328	RP11-148I19	Y	11	3	fin	WIBR	AC104570.3	172683	RP11
13290	22450665	RP11-76I23	Y	11	3	fin	WIBR	AC104942.5	159766	RP11
13294	20377038	RP11-1029L14	Y	11	3	fin	WIBR	AC104947.3	186823	RP11
13304	18464186	RP11-244O16	Y	11	3	fin	WIBR	AC104978.2	154105	RP11
13373	21637505	RP11-124M12	Y	11	3	fin	WIBR	AC105179.6	171683	RP11
13378	18483535	RP11-116O9	Y	11	3	fin	WIBR	AC105190.2	152837	RP11
13455	23462907	RP11-321F11	Y	11	3	fin	WIBR	AC105357.7	167772	RP11
13533	21637506	RP11-636L13	Y	11	3	fin	WIBR	AC105908.5	176485	RP11
13891	20340512	RP11-379A20	Y	11	3	fin	WIBR	AC107925.5	170801	RP11
13893	19683402	RP11-412L22	Y	11	3	fin	WIBR	AC107928.3	160764	RP11
13898	19849381	RP11-48O9	Y	11	3	fin	WIBR	AC107939.5	145264	RP11
13903	21909529	RP11-81D23	Y	11	3	fin	WIBR	AC107948.7	156839	RP11
13907	26291844	RP11-452G18	Y	11	3	fin	WIBR	AC107956.8	188571	RP11
14239	19033625	RP11-352L10	Y	11	3	fin	WIBR	AC108922.2	147862	RP11
14263	29469607	RP11-11A9	Y	11	3	fin	WIBR	AC109309.5	119560	RP11
14368	22773373	RP11-347H15	Y	11	3	fin	WIBR	AC109635.6	167920	RP11
14458	19849382	RP11-350A7	Y	11	3	fin	WIBR	AC110283.4	162170	RP11
14594	21536090	RP11-75L18	Y	11	3	fin	WIBR	AC111162.5	119944	RP11
14595	20486435	RP11-959A20	Y	11	3	fin	WIBR	AC111163.6	71871	RP11
14600	26190560	RP11-451K18	Y	11	3	fin	WIBR	AC111177.15	165682	RP11
14603	24371478	RP11-179A10	Y	11	3	fin	WIBR	AC111188.8	146308	RP11
14746	26050975	RP11-504G3	Y	11	3	fin	WIBR	AC112694.12	77162	RP11
14832	21930258	RP11-646J21	Y	11	3	fin	WIBR	AC113192.3	148308	RP11
14833	22296723	RP11-1026G19	Y	11	3	fin	WIBR	AC113193.6	182208	RP11
15138	22213363	RP11-792G9	Y	11	3	fin	WIBR	AC115088.6	200274	RP11
15197	28195912	RP11-139M16	Y	11	3	fin	WIBR	AC116010.5	179452	RP11
15198	20334669	RP11-25D20	Y	11	3	fin	WIBR	AC116013.3	149045	RP11
15199	26190561	RP11-356D19	Y	11	3	fin	WIBR	AC116015.16	180634	RP11
15214	20522208	RP11-44D14	Y	11	3	fin	WIBR	AC116156.3	176597	RP11
15277	24580459	RP11-236J17	Y	11	3	fin	WIBR	AC116456.12	146502	RP11
15280	23499586	RP11-466H18	Y	11	3	fin	WIBR	AC116533.11	189143	RP11
15281	27413210	RP11-265F24	Y	11	3	fin	WIBR	AC116534.7	186744	RP11
15282	27502496	RP11-685M7	Y	11	3	fin	WIBR	AC116535.9	192490	RP11
15341	22748479	RP11-280E5	Y	11	3	fin	WIBR	AC116901.7	164179	RP11
15506	21622809	RP11-159C12	Y	11	3	fin	WIBR	AC117746.6	157527	RP11
15514	21240739	RP11-258H15	Y	11	3	fin	WIBR	AC118002.2	160686	RP11
15529	22759265	RP11-107P7	Y	11	3	fin	WIBR	AC118273.4	187529	RP11
15576	27413206	RP11-313H5	Y	11	3	fin	WIBR	AC118656.4	155143	RP11
15585	27413205	RP11-15P23	Y	11	3	fin	WIBR	AC118942.4	161527	RP11
15847	24371449	RP11-21N2	Y	11	3	fin	WIBR	AC124259.6	99973	RP11
